Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
cat__KSIC소분류_11차_C26200.전자_부품_제조업,1.061254347199585e-06,0.0037391591452410047,2.6288616765467986e-06,0.015610596856367348,0.03592337168377179,-0.02884005605411635,-0.08503790389555708,
cat__주식업종_KGS05P.의약품,1.0536042163371206e-06,0.0037122051385486817,6.84755815236608e-06,-8.665321206360366e-05,-0.0011104842535478551,0.4020082974847897,0.25710303388877714,
cat__Trucost산업_Health_Care_Equipment_and_Supplies,1.0176423019429978e-06,0.0035854991123806966,1.1710789581283792e-05,-0.01701909919253341,-0.08211324764685723,-0.16422600872415014,-0.12119897898432555,
cat__KSIC세분류_11차_Missing,1.0077447997646333e-06,0.0035506268540168736,2.023498443427946e-06,0.0038601761328560555,0.010522636279530683,-0.33430331302052624,-0.060006700228576244,
cat__Trucost산업_Automobile_Components,9.966328544043319e-07,0.0035114757002665696,4.166245939490053e-06,0.010114969770626729,0.02614771977571642,-0.5325149163905593,-0.2553736797993403,
missing__missingindicator_법인세비용차감전계속영업이익손실_연결,9.901959489446973e-07,0.003488796298311745,2.5902154057279563e-06,0.017300841440812235,0.02341041406525198,-0.3314396954896334,-0.06862081265255512,
missing__missingindicator_비유동부채계_연결,9.75005876195945e-07,0.003435276518076921,5.181845346367301e-06,0.016216274115356144,0.013445543736259061,-0.3606598290986643,-0.10816541637613136,
cat__Scope1자료출처_Value_derived_from_data_provided_in_Environmental/CSR,9.62119486620409e-07,0.003389873395293348,2.131770814410024e-06,0.002160745280674561,-0.007413893717878038,-0.5078180669590139,-0.2002443248998062,
cat__KSIC소분류_11차_C21300.의료용품_및_기타_의약_관련제품_제조업,9.284976520470054e-07,0.0032714122643150265,2.1494903994069096e-05,-0.03472153995159375,-0.07478021871090203,-0.7392499499248454,-0.20348955061068746,
cat__KSIC소분류_11차_C20200.합성고무_및_플라스틱_물질_제조업,9.157926948495525e-07,0.0032266483893588407,2.9228299175236392e-05,-0.005134886830067272,0.00805440380146143,-0.8790187813309588,-0.1955181335912464,
cat__KSIC소분류_11차_C30300.자동차_신품_부품_제조업,8.935244300366773e-07,0.0031481897368751755,8.244759796751166e-06,0.010413918018692176,0.03999684587234973,-0.6132700610238887,-0.23019936037482341,
missing__missingindicator_fe_signed_log1p_수익_연결,8.740173644629468e-07,0.003079459726176701,1.8559720792387809e-06,0.017237207835653023,0.02368539177455229,-0.13822815383007653,-0.06714979733568645,
