Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__이자비용_연결,7.266598413173963e-05,0.24844700136087047,0.00014500253190759735,0.009951426645344725,0.06102844598501386,0.09484298182640725,0.2444038164056162,0.09040201163223467,num__fe_시장지배력,7.019571403450974e-05,0.24000107985383454,0.00013732403438253374,-0.015404794780472988,-0.019334102914937756,-0.1651448937991874,-0.5236220134157457,-0.28486266639962826
num__소계_거래대금_억원,6.987476115998505e-05,0.23890373313505553,0.00010801526475520912,-1.8558646805898962e-17,-5.922735343734368e-17,1.0328516756898674e-16,,-1.1939127652329694e-16,num__KSIC대분류_EBITDA대매출액,7.013546226943984e-05,0.23979507740940087,0.0001568309026840112,-0.07844045518845809,-0.20884894953226513,-0.4060574106335472,-0.18861276393999,-0.5286277604179264
num__기말시가총액_보통주우선주,6.943758161471592e-05,0.2374090042274898,0.00013857198105030147,0.07111956227195339,-0.1041295357310251,0.22860831452283778,0.2145458850899264,-0.04418008108305806,num__매출대비온실가스직접외부비용비율_pct,6.942402635708079e-05,0.23736265842825016,0.0001381102443169092,-0.04584860932461686,-0.03496792253726074,-0.18454125410431832,-0.31694340415574657,-0.11515339737125196
num__현금및현금성자산_연결,6.933079943749139e-05,0.2370439130222001,0.00013975517123731272,0.021225998281013805,-0.0028050013577987755,0.1249077815451118,0.028119088665129677,-0.035907374647257004,num__자본총계_연결,6.764202077382553e-05,0.23126993225302286,0.00013978827866276345,0.015201742150802252,-0.03976936844294374,-0.05829683936174963,-0.34981698606913764,-0.0872984628589481
num__자본금_연결,6.707401028638686e-05,0.22932788875038732,0.0001332989580739698,-0.026924360817467876,-0.018567825562209702,0.24994545556219647,0.5951302289326452,0.29394482743950634,num__장외_평균가격_원_tCO2eq,6.759294903590315e-05,0.23110215462936504,0.00011911805859793803,-1.8558646805898962e-17,-5.922735343734368e-17,-6.2433190787822726e-18,,5.968232856237532e-17
num__유형자산계_연결,6.601950287651723e-05,0.22572249886920226,0.0001305592591203414,-0.0005780624087402545,-0.004299953821417623,0.3084790018799135,0.4569933496971493,0.20292625958537638,num__기말발행주식수_보통주,6.745593291447355e-05,0.23063369273603174,0.00012967969780200623,-0.048311983413069234,-0.028869255427582976,-0.13184046495470675,-0.568214730477785,-0.3277675626525713
num__fe_시장지배력__lag1,6.49338222814956e-05,0.2220105270093043,0.00013024752109982925,-0.015004370651566122,-0.009433012224003088,0.2306659916594679,0.38590922852561893,0.24680000644273747,num__비유동부채계_연결,6.616218131097874e-05,0.22621032036676242,0.00013181075870373043,0.005954489871887184,0.005218645456113224,-0.10586632944561475,-0.2146185234351376,0.1268863014166557
num__유무형리스자산의증가_연결,6.488028965417117e-05,0.2218274974819038,0.00011988948901938101,-0.0006886895812626997,-0.009612346671255653,0.28500029011562933,0.35089160224155,0.2559203591983375,num__지배기업소유주지분_연결,6.384314883151534e-05,0.21828148444077256,0.00013289460486047656,0.01295286546172282,-0.054369915634526554,-0.02435910074279193,-0.2646954774457892,-0.06740567779111532
num__사회등급,6.252955040846e-05,0.21379025524873693,0.00013378183153396985,0.039436966968579304,0.054587111317569714,0.8628879647571005,0.767499191610767,0.8607873377638693,num__fe_유무형리스증가_자산,6.072949435619096e-05,0.20763581402274395,0.00011454330940595637,-0.07420602566411903,-0.09277841463934138,-0.1634698308831173,0.06024665397609632,-0.3710805218903908
num__부채총계_연결,6.199821330468355e-05,0.2119735990550259,0.0001234942733543746,0.015584231757585816,0.019058006015660902,0.17586221218638357,0.29442826105860814,0.17380503578965964,num__종업원평균급여,5.9886721042681714e-05,0.20475434884931787,0.0001191530409286448,0.01398393580734691,-0.06319215020744567,-0.6293147361763728,-0.37494167736941464,-0.6459279682339397
