Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
num__평균근속월수,0.000551566282409024,0.8829380449524098,0.001120042445754425,-0.02332353726996965,0.018863027978473224,0.3851667486059335,0.6221464384399852,0.3614796012549922,num__자기자본순이익율,0.0006480537081177162,1.0373934961551858,0.002729835385685469,-0.18343388025598617,-0.4720769051110916,-0.7405128534264318,-0.4482188385808455,-0.7769313974808265
num__fe_판관비율__diff1,0.0005440468751079562,0.8709011039838497,0.0011767170703587458,-0.07836291205700914,0.2763038636401765,0.676332909617737,0.3381849653534395,0.6563461913196347,num__영업이익이자보상비율,0.0006375817989880542,1.020630239827261,0.0011984834044370947,-0.016325762248954264,-0.14175779993388796,-0.17255523078042612,-0.7334953253250356,-0.2699837817553504
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,0.0005373574890349676,0.8601928470624511,0.0010498157723604898,-0.008136764395113773,0.03788551906519771,0.3890782467258054,0.3694813848787499,0.6013902463039508,num__매입채무회전율,0.0005733819352110203,0.9178601757074424,0.0011404490371962857,-0.06461651467307364,-0.059938584854496185,-0.2304999268684701,0.5947234935374089,-0.3397652076549173
num__매출채권회전율,0.0005066627243274345,0.8110571830353199,0.00101332544865487,-0.0625660545458858,-0.06827861062297223,0.37838517222766516,0.5716187774082393,0.45761452691183097,num__feature_year,0.0005413873534379975,0.8666437863437539,0.0009595086675222339,-0.0006115215279194269,-0.04236808062007088,-0.06209919709182573,0.03395143562369283,-0.357561259906914
num__무형자산상각비_연결,0.0004923988464188717,0.788223806747306,0.001013858393137779,0.04686473010063054,0.021983378706831685,0.3946503403241311,0.5690752680988842,0.5940842446111271,num__fe_재고자산비중__diff1,0.0005137346987233841,0.82237788092106,0.0010275445022071474,-0.0753568191941427,-0.013153106080897134,-0.4830757909171635,-0.7108415067619589,-0.38388713628048443
cat__Trucost산업_Semiconductors_and_Semiconductor_Equipment,0.0004907674807179458,0.7856123439213211,0.0011508483464927957,-0.048644787334952325,-0.01902543020904482,0.24335431315925737,0.07198194309032917,0.8897933474826439,num__종업원평균급여,0.0005061559870777822,0.8102460065533958,0.0009933707038413207,0.028168594890528677,-0.07018563234766981,-0.6152773422126135,-0.7270663194000733,-0.1401122978716987
num__협의_평균가격_원_tCO2eq,0.000481625102840349,0.7709773789009692,0.0009858595134916784,0.0006115215279193733,0.04236808062007088,0.06429776931140628,0.14812055072835448,-0.04227421967013408,num__당좌비율,0.00048696968521565355,0.7795328966402482,0.001157977206468648,-0.07804749276875142,-0.17874619363345598,-0.6690018770186503,-0.1937456031101573,-0.7303881803178436
num__fe_Scope2_매출집약도,0.0004762003983748925,0.7622936030648986,0.001253452095474602,-0.03570111964542497,0.0713782027244105,0.3719636856419023,0.6340289145885847,0.35465950025980614,num__평균시가총액,0.000476985371782595,0.7635501753174834,0.0009645676149530392,0.06964992843125378,-0.038756453107924596,-0.15695713238172465,-0.5134961601351495,-0.6057379367741114
num__fe_signed_log1p_Scope1직접배출량_tCO2e,0.00045048554439512727,0.7211296965259315,0.0009507642744419479,-0.01154206309391074,0.02434592972689014,0.21372696982073744,0.34370814732450583,0.4733361447496642,num__fe_유동자산_유동부채,0.00047526689254510186,0.7607992626046604,0.0016097661501216446,-0.08161769326770293,-0.18967216580875368,-0.6483458860787891,-0.5792733767184525,-0.8196818634998891
num__매출대비온실가스직접외부비용비율_pct,0.000405015025960249,0.6483412539936672,0.000810938697221207,-0.04075118286344151,0.00046815395455446473,0.6107027688632621,0.7356702750197823,0.6452502967715944,num__매출액순이익율,0.00047367550906150135,0.7582518026409314,0.0013039897510382736,-0.1439706873173061,-0.3557468366669605,-0.33915108034075364,-0.09023372310301855,-0.5506517905291894
num__종업원1인당인건비증가율,0.0003941435733070942,0.6309384151010407,0.0008119127154896008,0.03222790480359646,0.024401939174248197,0.051531043040635084,-0.004605329298511258,0.1651968103563114,num__fe_현금_자산,0.0004680142199995348,0.7491893061546498,0.0008897086372257935,0.0006541173085545525,-0.11103437568434783,-0.42240868424330535,0.31117951889641565,-0.602205064923709
num__Scope1직접배출량_tCO2e,0.00038766646547093946,0.6205699696173491,0.0007712129680490762,-0.040379802631754176,-0.0014613594453971462,0.17675336035439934,0.6492888667121413,0.4668296511353139,num__노동소득분배율,0.00044882645420875014,0.7184738528090866,0.0009256259631318917,-0.02567096313619623,0.0815176765436135,-0.5316810206786969,-0.5293410095973526,-0.501862944946469
num__fe_Scope1_2_매출집약도__lag1,0.000376750028563979,0.6030951206864451,0.0007651902052949234,-0.039241256532111295,0.020900768005515546,0.2239117208901509,0.3022507666053132,-0.20792224920480368,num__총자본순이익율,0.0004486844978684107,0.7182466114826942,0.0019835634699538656,-0.19199376264376833,-0.4993710846627963,-0.6391929938179054,-0.3982392772275416,-0.7116112446549311
num__매출채권_연결,0.00036449750074927655,0.5834814798612868,0.0007245637021140409,-0.006188672157395422,0.01725285945451513,0.12610891260687548,0.32476512286237574,-0.05737355998746352,num__fe_signed_log1p_종업원평균급여,0.00043738174686769,0.7001533574361033,0.0009202912312892775,0.040953844190938,-0.04386058067195356,-0.49273710396139225,-0.40895347104063223,-0.6141610076419499
num__경쟁_거래대금_억원,0.00036391936127229635,0.5825560038925869,0.0007881571652304331,-0.0006115215279193503,-0.042368080620070865,0.09760059293395347,0.14833113944128926,-0.08367622088493831,cat__Scope3자료출처_Estimate_derived_by_applying_revenue-based_intensity_factors_to_revenue_data,0.0004183456816720301,0.669680743856402,0.0008853375302869382,0.013482946252287461,-0.039977655100029624,-0.34534104273781635,-0.2563221434768533,-0.7664063858060997
num__사회등급,0.00036389876615442585,0.5825230355736594,0.0007307719837589021,0.035680124796819375,0.03626918484001706,0.3078627057669725,0.286801550045382,0.7788121794226833,num__fe_판관비율__lag1,0.0004169553615345483,0.6674551427216033,0.0008320935776991328,0.03182841595406027,-0.072011047823537,-0.04563006210240973,-0.2462538912860821,0.5770890327636918
num__Scope2사업장간접배출량_tCO2e,0.0003616151202573464,0.5788674135604275,0.0007169640211486323,-0.0023805803278522278,0.05895841207075188,0.3130498276171352,0.6129611466106036,0.23460469177863774,num__fe_Scope1_매출집약도,0.00037127755653489433,0.5943348793364606,0.0007960663813054646,-0.03266666623442919,0.0007027370061220372,-0.1616142396405145,-0.32251191534058254,-0.46243177031077587
num__fe_시장지배력,0.0003606258149990816,0.5772837503118722,0.0007286544396687087,-0.0022339497959474744,0.006457891051397644,0.037426245502946855,0.11656030264853641,0.11341570348592112,num__장외_거래대금_억원,0.0003495219835491023,0.5595089233425624,0.0006641321884582659,0.0006115215279194014,0.042368080620070865,-0.40828584823312014,-0.433869813811095,-0.28812902671137647
num__환경등급,0.000344400501016135,0.5513105400854026,0.0006715805418204982,0.04396568726056361,0.026379737113823302,0.49020326701265,0.4383961708272767,0.4771691091336594,num__경매_평균가격_원_tCO2eq,0.0003481860416743178,0.5573703700177645,0.0007337984185066429,0.0006115215279193889,0.042368080620070844,-0.027131169553048826,-0.04111277918510225,-0.05278415087467033
num__fe_자본집약도,0.0003393053435605358,0.543154297570137,0.0007054295197981763,-0.058081878663061394,0.05118409950625231,0.7876589811919624,0.7916007039829799,0.8004458687196037,num__소계_평균가격_원_tCO2eq,0.00033811112723495623,0.5412426161251578,0.0006722293984366414,0.0006115215279193967,0.042368080620070886,-0.3126149084549347,-0.36178501673817165,0.07924098450692717
num__EBITDA대금융비용,0.00031836810294803825,0.5096383143008988,0.0005986313613674187,-0.01627445095781405,-0.135330068401405,0.21789178725619684,0.40797106919596166,0.053100950714218206,num__경매_거래대금_억원,0.0003298513232984237,0.5280204606526373,0.0006548856384418895,-0.0006115215279193961,-0.042368080620070865,-0.4514231174640912,-0.3660807152885026,-0.2846159659784582
num__fe_배출권_잠재탄소비용_원,0.00031535401060665905,0.5048134058826755,0.0006165360618101835,-0.001736939080001324,-0.004244859952184361,0.06742408876282027,0.4839611611663219,0.15319141347484475,num__매출액총이익율,0.0003260247198400663,0.5218948980791356,0.0006495602928738368,-0.05221083179402543,-0.2660023091666371,-0.21580540098990442,-0.3488775652241401,-0.20995610927093983
num__KSIC중분류_EBITDA대매출액,0.00031245777182995876,0.5001771554722149,0.0006776541652280495,-0.031040575872219173,-0.08013239330234628,0.01373854726932818,-0.14189773572075587,0.3548279442288817,num__지배구조등급,0.00031343939906056556,0.5017485278629973,0.0006256870919975491,0.02173996222315983,-0.03157877958671279,-0.03800960252797771,0.0545485744983062,-0.6211464448235812
num__기말종가수정,0.00031196367913915773,0.49938622018781753,0.000629097590531979,0.07214325782490558,-0.07362606964274539,0.562074159560239,0.7307319338449797,0.6296491168877987,num__유동비율,0.0003014124431588342,0.4824959787691265,0.0008201831703665162,-0.07758232451556461,-0.17883363747451836,-0.595312416747746,-0.6153718141196377,-0.44129123850642826
num__유무형리스자산의증가_연결,0.0003113212237743048,0.4983577884255732,0.000608242783668288,-0.02172290246075242,0.005722865237803826,0.4068427851743001,0.42903558029348665,0.14891426822752582,num__재고자산계_연결,0.00030139871486819906,0.48247400275195407,0.0006558806955525408,0.030186159041555832,0.001953451097474131,-0.18404206736079168,-0.43509974414419306,-0.013022072343353123
missing__missingindicator_종업원1인당인건비,0.0003069206075113491,0.4913133557912402,0.000707431740881808,-0.02598091695711812,-0.0034066465365284173,0.5808729723447258,0.6473395665896666,0.6251956371243712,num__fe_유무형리스증가_자산,0.0003005415940156541,0.48110193808090734,0.0005839362374359509,-0.06636442632835442,-0.0785202194524152,-0.28354487106452486,-0.34791205105346107,0.38284556731818276
