Feature,Category / Metric,Overall Sample,Target (Y) Subgroup,Statistics
num__fe_영업이익_매출,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.26, $p$<0.001"
num__EBITDA대매출액,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.24, $p$<0.001"
num__총자본순이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.20, $p$<0.001"
num__자기자본순이익율,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.19, $p$<0.001"
num__EBITDA대매출액__lag1,Mean ± SD,0.01 ± 0.99,-,"$r$=-0.16, $p$<0.001"
num__EBITDA대매출액__diff1,Mean ± SD,-0.02 ± 0.51,-,"$r$=-0.14, $p$<0.001"
num__매출액순이익율,Mean ± SD,-0.00 ± 0.99,-,"$r$=-0.13, $p$<0.001"
num__매출액총이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.12, $p$<0.001"
num__fe_판관비율__diff1,Mean ± SD,0.01 ± 0.23,-,"$r$=0.09, $p$<0.001"
num__fe_부채_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__부채비율,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__fe_영업현금흐름_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.09, $p$<0.001"
cat__KSIC중분류_11차_C10000.식료품 제조업,0.0,"5,260 (95.64%)",-0.00 ± 0.06,"$T$=-3.01, $p$=0.00"
cat__KSIC중분류_11차_C10000.식료품 제조업,1.0,240 (4.36%),0.00 ± 0.02,
num__fe_판관비율__lag1,Mean ± SD,-0.02 ± 0.98,-,"$r$=-0.04, $p$=0.00"
num__영업이익이자보상비율,Mean ± SD,-0.01 ± 0.89,-,"$r$=-0.04, $p$=0.00"
num__KSIC대분류_EBITDA대매출액,Mean ± SD,-0.00 ± 0.97,-,"$r$=-0.04, $p$=0.00"
num__fe_자본집약도,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.04, $p$=0.00"
num__fe_signed_log1p_평균시가총액,Mean ± SD,-0.00 ± 0.98,-,"$r$=-0.04, $p$=0.00"
cat__Scope3자료출처_Estimate derived by applying revenue-based intensity factors to revenue data,0.0,693 (12.60%),0.00 ± 0.06,"$T$=2.85, $p$=0.00"
cat__Scope3자료출처_Estimate derived by applying revenue-based intensity factors to revenue data,1.0,"4,807 (87.40%)",-0.00 ± 0.06,
cat__Scope3보고추정구분_추정치,0.0,693 (12.60%),0.00 ± 0.06,"$T$=2.85, $p$=0.00"
cat__Scope3보고추정구분_추정치,1.0,"4,807 (87.40%)",-0.00 ± 0.06,
cat__시장구분_코스피,0.0,"2,606 (47.38%)",-0.00 ± 0.07,"$T$=-2.74, $p$=0.01"
cat__시장구분_코스피,1.0,"2,894 (52.62%)",0.00 ± 0.05,
missing__missingindicator_종업원수증가율,0.0,"5,323 (96.78%)",-0.00 ± 0.06,"$T$=-2.63, $p$=0.01"
missing__missingindicator_종업원수증가율,1.0,177 (3.22%),0.01 ± 0.05,
cat__Scope1보고추정구분_반려됨,0.0,"5,166 (93.93%)",-0.00 ± 0.06,"$T$=2.62, $p$=0.01"
cat__Scope1보고추정구분_반려됨,1.0,334 (6.07%),-0.01 ± 0.05,
num__fe_signed_log1p_Scope3협력사간접배출량_tCO2e,Mean ± SD,0.00 ± 0.99,-,"$r$=0.03, $p$=0.01"
cat__KSIC중분류_11차_J62000.컴퓨터 프로그래밍_ 시스템 통합 및 관리업,0.0,"5,429 (98.71%)",-0.00 ± 0.06,"$T$=2.62, $p$=0.01"
cat__KSIC중분류_11차_J62000.컴퓨터 프로그래밍_ 시스템 통합 및 관리업,1.0,71 (1.29%),-0.03 ± 0.08,
cat__KSIC소분류_11차_J62000.컴퓨터 프로그래밍_ 시스템 통합 및 관리업,0.0,"5,429 (98.71%)",-0.00 ± 0.06,"$T$=2.62, $p$=0.01"
cat__KSIC소분류_11차_J62000.컴퓨터 프로그래밍_ 시스템 통합 및 관리업,1.0,71 (1.29%),-0.03 ± 0.08,
cat__Trucost산업_Software,0.0,"5,392 (98.04%)",-0.00 ± 0.06,"$T$=2.55, $p$=0.01"
cat__Trucost산업_Software,1.0,108 (1.96%),-0.02 ± 0.08,
cat__Scope2사업장간접보고추정구분_보고값,0.0,"5,278 (95.96%)",-0.00 ± 0.06,"$T$=-2.49, $p$=0.01"
cat__Scope2사업장간접보고추정구분_보고값,1.0,222 (4.04%),0.01 ± 0.06,
missing__missingindicator_매출대비온실가스직접외부비용비율_pct,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_매출대비온실가스직접외부비용비율_pct,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_온실가스직접외부비용_백만USD,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_온실가스직접외부비용_백만USD,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_총매출_백만USD,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_총매출_백만USD,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_Scope3협력사간접배출량_tCO2e,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_Scope3협력사간접배출량_tCO2e,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_Scope1직접배출량_tCO2e,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_Scope1직접배출량_tCO2e,1.0,612 (11.13%),0.00 ± 0.06,
cat__Scope3자료출처_Missing,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
cat__Scope3자료출처_Missing,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_Scope2사업장간접배출량_tCO2e,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_Scope2사업장간접배출량_tCO2e,1.0,612 (11.13%),0.00 ± 0.06,
missing__missingindicator_fe_Scope1_매출집약도,0.0,"4,888 (88.87%)",-0.00 ± 0.06,"$T$=-2.48, $p$=0.01"
missing__missingindicator_fe_Scope1_매출집약도,1.0,612 (11.13%),0.00 ± 0.06,
