Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
cat__KSIC대분류_11차_J00000.정보통신업(58~63),0.0007345654552286107,0.07345654552286107,96.64419541523996
num__fe_배출권_확장가용량,0.0007238354053428094,0.07238354053428094,96.71657895577424
missing__missingindicator_fe_signed_log1p_기부금_원,0.0007070044143338643,0.07070044143338643,96.78727939720763
num__fe_배출권_총할당량,0.0006743961958458146,0.06743961958458146,96.8547190167922
num__fe_배출권_조정후할당량,0.0006721284819775429,0.06721284819775429,96.92193186498996
cat__시장구분_코스피,0.0006533658774736189,0.06533658774736188,96.98726845273733
num__배출권_에너지사용량_TJ,0.0006456276893815547,0.06456276893815548,97.05183122167549
num__fe_배출권_부족비율__lag1,0.0006342637172283564,0.06342637172283563,97.11525759339833
num__배출권_사전할당량,0.0006286315857922477,0.06286315857922477,97.17812075197754
num__사회등급,0.0006220793607605672,0.06220793607605672,97.24032868805361
num__fe_배출권_할당충족률,0.0005692780301090203,0.05692780301090203,97.29725649106452
cat__NICS산업분류_N25301.호텔__레스토랑__레저,0.0005620535972603991,0.05620535972603991,97.35346185079055
cat__NICS산업분류_N45100.소프트웨어_및_IT서비스,0.0005610988338434326,0.05610988338434326,97.40957173417489
num__ESG등급,0.0005550152340628917,0.05550152340628917,97.46507325758118
num__환경등급,0.0005268411398125039,0.05268411398125039,97.51775737156242
cat__KSIC세분류_11차_C29270.반도체_및_디스플레이_제조용_기계_제조업,0.0005114746078508704,0.051147460785087036,97.56890483234751
num__환경등급__diff1,0.00048720675362066567,0.04872067536206657,97.61762550770958
num__지배구조등급,0.00047390148182807374,0.04739014818280737,97.66501565589239
num__fe_배출권_부담,0.00046960726852060737,0.046960726852060736,97.71197638274445
cat__KSIC대분류_11차_C00000.제조업(10~34),0.00046475663008880257,0.04647566300888026,97.75845204575333
cat__주식업종_Missing,0.0004636329780363017,0.04636329780363017,97.80481534355697
cat__KSIC소분류_11차_C29200.특수_목적용_기계_제조업,0.00045893541462669815,0.045893541462669815,97.85070888501964
missing__missingindicator_부가가치(종업원1인당),0.00045164025031205744,0.04516402503120574,97.89587291005085
missing__missingindicator_노동소득분배율,0.0004443548508365558,0.04443548508365558,97.94030839513451
cat__주식업종_QGS16P.기계·장비,0.00044212806157053184,0.04421280615705318,97.98452120129156
cat__KSIC소분류_11차_C21100.기초_의약_물질_제조업,0.00043415602327163765,0.043415602327163766,98.02793680361872
missing__missingindicator_KSIC중분류_EBITDA대매출액,0.000426852345085266,0.0426852345085266,98.07062203812724
cat__KSIC중분류_11차_C29000.기타_기계_및_장비_제조업,0.0004166904376930491,0.041669043769304914,98.11229108189654
missing__missingindicator_지배구조등급,0.00040063155395117256,0.040063155395117254,98.15235423729166
missing__missingindicator_노동생산성,0.0003942499821113778,0.03942499821113778,98.19177923550279
cat__KSIC세분류_11차_C21100.기초_의약_물질_제조업,0.000392538935001066,0.0392538935001066,98.2310331290029
cat__NICS산업분류_N45301.반도체_및_반도체장비,0.0003903660061581245,0.03903660061581245,98.27006972961871
num__fe_배출권_부족량,0.0003882227919229559,0.03882227919229559,98.308892008811
missing__missingindicator_종업원1인당인건비,0.0003870624425073857,0.03870624425073857,98.34759825306173
cat__Trucost산업_Chemicals,0.0003827858875441188,0.038278588754411876,98.38587684181614
cat__Scope1자료출처_Estimate_derived_by_applying_revenue-based_intensity_factors_to_revenue_data,0.0003751922400995665,0.03751922400995665,98.4233960658261
missing__missingindicator_fe_운영탄소집약도_변화,0.000373913073506871,0.0373913073506871,98.46078737317679
cat__Scope3자료출처_Estimate_derived_by_applying_revenue-based_intensity_factors_to_revenue_data,0.00036654122648321495,0.0366541226483215,98.4974414958251
cat__Scope2사업장간접자료출처_Estimate_derived_by_applying_revenue-based_intensity_factors_to_revenue_data,0.00036495886471401835,0.03649588647140183,98.5339373822965
missing__missingindicator_KSIC대분류_EBITDA대매출액,0.0003483021394156496,0.03483021394156496,98.56876759623806
num__배출권_할당취소량,0.00033798622892711503,0.0337986228927115,98.60256621913078
cat__Scope3보고추정구분_추정치,0.00029987900819101765,0.029987900819101767,98.63255411994989
cat__Trucost산업_Entertainment,0.0002924574554231931,0.02924574554231931,98.66179986549221
cat__Scope1보고추정구분_추정치,0.00028517899196804533,0.028517899196804534,98.69031776468901
cat__KSIC중분류_11차_C20000.화학_물질_및_화학제품_제조업,0.00027789253928807304,0.027789253928807302,98.71810701861781
missing__missingindicator_ESG등급,0.00025810970201782605,0.025810970201782604,98.7439179888196
cat__Scope2사업장간접보고추정구분_추정치,0.00024080931668816954,0.024080931668816953,98.76799892048842
num__배출권_이월량,0.0002363245354950588,0.02363245354950588,98.79163137403793
cat__주식업종_QGS18P.의료·정밀기기,0.00022982433941288037,0.022982433941288037,98.81461380797923
missing__missingindicator_사회등급,0.00022064902938877427,0.022064902938877428,98.83667871091811
cat__NICS산업분류_N15101.화학,0.00021965913601842128,0.02196591360184213,98.85864462451995
missing__missingindicator_환경등급,0.00021445753123565888,0.021445753123565888,98.88009037764353
num__배출권_추가할당량,0.00021152067966442184,0.021152067966442183,98.90124244560997
missing__missingindicator_경매_평균가격_원_tCO2eq,0.00020976012203853227,0.020976012203853228,98.92221845781383
cat__주식업종_QGS33P.제약,0.0002057097587109295,0.02057097587109295,98.94278943368492
cat__KSIC중분류_11차_J59000.영상ㆍ오디오_기록물_제작_및_배급업,0.00020562644605306695,0.020562644605306695,98.96335207829023
num__fe_배출권_잠재탄소비용_원,0.00018852573825366232,0.01885257382536623,98.9822046521156
cat__Trucost산업_Software,0.00018539528815804507,0.018539528815804507,99.0007441809314
missing__missingindicator_Scope2사업장간접배출량_tCO2e,0.00018107159721764048,0.01810715972176405,99.01885134065317
cat__Scope1자료출처_Missing,0.0001804172444657862,0.01804172444657862,99.03689306509975
missing__missingindicator_영업이익이자보상비율,0.00017780593368642696,0.017780593368642697,99.05467365846839
