Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_강세(<-0.9%),DirectionPearson_강세(<-0.9%),DirectionSpearman_강세(<-0.9%),Rank_보합(-0.9%~4.7%),DirectionPearson_보합(-0.9%~4.7%),DirectionSpearman_보합(-0.9%~4.7%),Rank_약세(>4.7%),DirectionPearson_약세(>4.7%),DirectionSpearman_약세(>4.7%)
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884,10,0.6723812554376544,0.35879794200841186,12,0.5785628410423268,0.2140039146178706,13,0.4666385927141633,0.3491347422779395
case_id,12,-0.5873800439718871,-0.5428162192581066,11,-0.632460689121921,-0.5851276972452019,10,-0.6478108420593566,-0.6138928441081065,18,-0.4764068535778588,-0.46295243305285677
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796,12,-0.6277929576176086,-0.5382304701643429,17,0.20073318321293415,0.11093925780992031,12,-0.6147058322917208,-0.5023649207190823
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271,13,0.6449258081035827,0.8064852664768072,14,0.7666012457008454,0.416575862516342,21,0.4239300864466864,0.17730425558847676
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908,17,-0.7295796758988002,-0.6966361254460736,18,-0.707726627717136,-0.628910682226167,11,-0.7130716356230214,-0.634874509003635
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353,16,-0.5286683426167594,-0.7619997652730689,15,-0.5501871401007478,-0.7076079396120969,14,-0.5072566559713367,-0.5291660302392692
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807,20,0.8455929056642988,0.8444917211689521,16,0.8028551424146028,0.841786078439379,17,0.7054735619254431,0.8096470656367014
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411,19,-0.6016826909718632,-0.6857224345513233,13,-0.39585204615713865,-0.7224818990417808,26,-0.4255973682913795,-0.4151065913831735
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174,18,0.7240516758501513,0.72315292140716,20,0.6919115725514742,0.6929605805726436,16,0.726566984690215,0.7377873679853139
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374,14,-0.6999294911622087,-0.8334734042818418,21,-0.5300866070679878,-0.6895270377233351,20,-0.563357954139847,-0.44289023247314163
