Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_역성장(<-4.6%),DirectionPearson_역성장(<-4.6%),DirectionSpearman_역성장(<-4.6%),Rank_보합(-4.6%~3.1%),DirectionPearson_보합(-4.6%~3.1%),DirectionSpearman_보합(-4.6%~3.1%),Rank_성장(>3.1%),DirectionPearson_성장(>3.1%),DirectionSpearman_성장(>3.1%)
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884,11,0.4984482596131384,0.5297737112072239,20,0.3428824480637469,-0.08606564527250724,10,0.6549161216592042,0.40618635684349375
case_id,12,-0.5873800439718871,-0.5428162192581066,16,-0.04789766149146679,0.023998376079182888,13,-0.561158653212641,-0.1800669197584216,11,-0.7945605889581163,-0.809619916822629
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796,15,-0.6994202181158147,-0.6222383961010627,14,-0.5915522997564052,-0.45534521275054196,13,-0.05269743692101024,0.24605762029499334
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271,22,-0.4800466983110478,-0.27857485456397185,22,0.6032248847985946,0.43995437520219116,9,0.4541796954035412,0.5102293432283431
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908,12,-0.7131075443981423,-0.5393954422838243,18,-0.7140989129445098,-0.6758758741497227,15,-0.7445925199186877,-0.7080303188756987
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353,13,-0.5651941615068012,-0.6021190477625632,17,-0.4695475735700436,-0.6189851709109215,14,-0.513034578083652,-0.7925136648995524
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807,20,0.7344576697593559,0.7522980544408923,11,0.8714557542649477,0.8583613930262456,20,0.7679076392042414,0.7894731335541785
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411,17,-0.39293092783718736,-0.7188410755737328,16,-0.2984649224259488,-0.4913872382052647,18,-0.6864199287961448,-0.7351206541922003
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174,18,0.6624522416354045,0.7117464540139995,15,0.7606281087006653,0.7691454745371713,16,0.6181076123618094,0.3800544342683672
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374,27,-0.1161470152609968,0.05758490488581831,12,-0.6533390264127601,-0.7816204323332466,17,-0.5442854263635415,-0.8586604313469522
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057,14,-0.5906162226399385,-0.5233418322082352,19,-0.41608108990031806,-0.24905397627188902,21,-0.5129828304280358,-0.514753660580832
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935,19,-0.8391823235439602,-0.6980803720137461,23,-0.7114995177060479,-0.5727257693613877,27,0.6101597847698401,0.6368352531079822
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041,21,-0.8736941803495352,-0.6898628786871441,24,-0.892366085779063,-0.8467714477791202,26,-0.8823155886581453,-0.7729655514301623
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725,35,-0.5552286301257544,-0.10405735549835458,21,-0.6943082100393387,-0.8265166959354784,22,-0.16381630132612682,-0.5787066711291098
inv_cty,25,-0.44749134781165584,-0.5769674973968539,26,-0.2846445313903865,-0.430937778974843,28,-0.44909294266305944,-0.6394071594190595,23,-0.5650395827343123,-0.5930359648467464
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365,24,0.04251478075660477,-0.5221904555802548,26,0.08233891344511526,-0.33298423373798164,25,0.23435214455689882,-0.10946940050561232
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871,28,0.2947424724207231,0.801805631299731,25,0.46519334390499556,0.8453982524833116,28,0.2533178118733922,0.7063626794313834
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203,25,0.5638727989978254,0.6069691075961531,27,0.6440209918822134,0.6143068470894758,29,0.7960883686359351,0.5532331190768478
iso2,29,-0.6440943359299091,-0.7059975756134544,29,-0.664873390506962,-0.691033716133335,30,-0.5853275728264334,-0.6609575138890902,30,-0.6901756693988905,-0.7284199453331677
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651,30,-0.6011899590892006,-0.6546821835394563,32,-0.514463580008689,-0.701976905488538,24,-0.5730236285533012,-0.8268074960940073
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599,23,0.4733918634344562,0.7912473199797755,33,0.23674589945387922,0.6087096159849562,31,0.19648486508130567,0.44383739935569244
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578,34,-0.9114672553183059,-0.7585085035611072,29,-0.7274745094003728,-0.6948208116733638,34,-0.6653577468650625,-0.8645413588076226
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261,31,0.5183618919895495,0.5518987749571468,34,0.03342238413522967,0.3622725040928482,33,-0.2250763502312905,0.22826695321480944
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855,32,0.45308911422759657,-0.3451952233897472,36,0.0983487417499079,-0.4583475711707513,32,0.19595048857465416,-0.39866798640641304
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086,45,-0.6964825881138645,-0.6039412074030795,31,0.6047353051479949,0.19695954308175412,35,0.3553182568106297,-0.1607916189892384
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688,33,-0.20443822829597652,-0.18072375458602832,37,0.09634394431202246,0.1444489275345914,36,-0.14483231264590696,-0.11140328405919671
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685,37,-0.6233389997135638,-0.632808607398484,35,-0.01750425833434668,-0.1837142028535291,37,0.24807271454389584,0.11256114050566776
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053,39,-0.20513027506658701,-0.30338437664177925,38,-0.113274762610364,-0.07825570930786023,38,-0.16345732719907605,-0.2257660503682711
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557,38,-0.4556084990320258,-0.22158264185340373,43,-0.4794934879668957,-0.6736406899777382,39,-0.13896444630181157,-0.23950006348558253
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596,40,0.17690353615888674,0.3615783045794594,39,0.29777578681890493,0.17282521658640396,41,0.3818175345806697,0.19182504440190173
HS_챕터,41,0.23323791916126071,0.467284785622024,42,0.16146275016860137,0.4297183578611317,40,0.20349622593769817,0.5188122010256976,40,0.4743931750267748,0.5757902883447238
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393,41,0.04842832241401312,-0.11255923782011094,41,0.46006175887568274,0.5283921088842225,42,0.39453414550936217,0.4869474158409769
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613,36,0.8144922811549258,0.8975600164105595,42,0.762405667653618,0.8358408394526048,46,0.38723187567772005,0.5292170544735357
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551,43,-0.08444148079149262,-0.11922418066149927,45,0.02870306143019292,0.010441401676715298,44,-0.2189418598227197,-0.2521737582086271
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377,46,0.18490017381354926,0.14661120733830194,46,0.28691821174687876,0.17883925424589625,43,0.528635551331827,0.6191314544847125
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161,44,-0.72528750590419,-0.7633232797724778,44,-0.5940084264255798,-0.6815938888338433,45,-0.5265185757290004,-0.5178384528934734
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506,47,-0.8117762575381235,-0.45287168094031965,48,-0.30251740638696173,-0.20387625089626782,47,-0.3046144688426391,-0.4815535463858071
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526,48,-0.35883059383968546,-0.46464448581308176,47,0.17248950141032196,0.2652877658625194,48,-0.14243513690134776,-0.11577941972969169
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618,50,0.4528105132923033,0.532039411578716,51,0.6561602322011626,0.6573193588225051,49,0.6689416513274663,0.7508511904641112
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603,49,0.5006135419959964,0.5655798923442542,50,0.5153091544292145,0.5766510320119682,50,0.6337359441828411,0.8273934062189497
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283,52,0.8506232293449242,0.423771609319767,49,0.4649195312924723,0.33665662478993624,52,0.13051580249670533,0.02676462784151871
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109,51,0.6022891153148157,0.5043886381782462,52,0.417376652375922,0.08816352555558991,51,0.5101603447725905,0.572026688141545
