Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_소수(<8개국),DirectionPearson_소수(<8개국),DirectionSpearman_소수(<8개국),Rank_중간(8~23개국),DirectionPearson_중간(8~23개국),DirectionSpearman_중간(8~23개국),Rank_다수(>23개국),DirectionPearson_다수(>23개국),DirectionSpearman_다수(>23개국)
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796,14,-0.030590026685849977,0.15558473296452474,12,-0.6037058068669119,-0.5183961848701136,15,-0.7082537490634552,-0.5870808801162782
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271,12,0.6699539951996376,0.7060828260677967,17,0.6547649171614512,0.44965389796177124,21,0.5771773013750188,0.3492113013129061
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908,17,-0.7573680187462313,-0.6526662056916596,19,-0.6857823990481146,-0.6478451041044055,11,-0.6814711945631935,-0.5629855916885024
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353,13,-0.4663086707202594,-0.7873418490129646,18,-0.4855078236102782,-0.616296323307636,20,-0.5242845245544377,-0.4147616543811464
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807,19,0.8027851948963843,0.7969308889121037,11,0.820057853263356,0.8587583569906259,14,0.7875664318802063,0.8221279459218906
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411,15,-0.47325324285067005,-0.8031835046246761,15,-0.39357046021051706,-0.6011024980252018,22,-0.3358195058252776,-0.39413054864291175
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174,16,-0.2798762357888968,-0.3460807818812932,21,0.694410832549852,0.7405733098594818,12,-0.12565857194015262,-0.1795253853474018
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374,20,-0.43990709550236257,-0.6373448743260507,16,-0.6490201169631222,-0.7381679867513083,13,-0.7846928232462652,-0.715107719504081
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057,18,-0.6180148713714693,-0.642514014030416,20,-0.4583604931479352,-0.26787295206335043,16,-0.33194117703658677,-0.09376457266618252
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935,24,-0.0506555850747426,-0.1000396413071721,22,-0.3089731846647436,-0.22785900115450178,23,-0.2025494648286997,-0.03974612716345531
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041,27,-0.8708515732262592,-0.7367728929938567,23,-0.8843189938520437,-0.7296666424499332,19,-0.8993323143252588,-0.8930027893927621
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725,21,-0.2707566648052096,-0.6379982444328036,24,-0.671821037525005,-0.7004352448578173,32,-0.5444307560344358,-0.4593987661426773
inv_cty,25,-0.44749134781165584,-0.5769674973968539,23,-0.39268387831006857,-0.4693988058027397,25,-0.3905262703214763,-0.5509473408000222,28,-0.545779773904231,-0.6679399730203226
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365,25,0.2010240801354564,-0.0787146560738242,28,0.04792364201208842,-0.4442607961008506,26,0.08245710858967249,-0.3359183656743058
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871,28,0.3259027313263072,0.8073703432049546,26,0.4127079589452217,0.8195537366832415,24,0.40222351360004105,0.8285593299082358
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203,29,0.700332634254932,0.566790860795853,27,0.6072024680125648,0.6466476926252253,25,0.6288969990503911,0.5930342630506206
iso2,29,-0.6440943359299091,-0.7059975756134544,30,-0.6452056764634627,-0.6723579069344796,29,-0.6312200208880273,-0.6944966326044156,29,-0.626967631718188,-0.7051975565937176
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651,26,-0.4207906193319644,-0.7552772784649618,32,-0.5152011199592487,-0.6804227726033765,30,-0.6403843122035003,-0.5742873790100875
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599,33,0.3233586528841616,0.5427625109888808,31,0.32393244541016647,0.7097837603286781,27,0.3483755904079533,0.7325664056398065
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578,32,-0.8069211809699263,-0.9100229112322145,30,-0.7751057881035847,-0.8811061943328269,34,-0.6259516053977875,-0.7803846643167724
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261,34,-0.2164137648396185,0.17216487990084342,34,0.14241003084846932,0.34964207224256183,31,0.7175051540777634,0.6891947107865187
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855,31,0.2963615718466083,-0.3559256241458482,35,0.3274128341537436,-0.3819849757037418,38,-0.35361941161960686,-0.5698906478495231
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086,37,0.1611061928468907,-0.2917453360715131,33,0.29261753511409716,-0.13958311345177823,33,0.6279186030994276,0.1184226077886751
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688,38,-0.05386509825064992,-0.07264635004963768,36,-0.03563540754947124,-0.018960092322307345,35,-0.019989894697967674,0.13348995319037857
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685,35,-0.5112392545539126,-0.6578118490790643,37,-0.21391890736343439,-0.5187803988538938,40,-0.11278863513807133,-0.32492264896888345
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053,36,-0.3824458384631492,-0.4702335199442746,39,-0.10726965126254805,-0.18008684635768418,36,0.16127174733995245,0.22328734504442957
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557,39,-0.3549840005755669,-0.45962045021977393,41,-0.538751684416598,-0.6608943864410635,39,-0.6665985777225095,-0.7322725390081484
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596,41,0.19388142623005025,0.07444374443457727,38,0.4138904628233494,0.3768058082809039,43,0.36327339901033234,0.4532493728406295
HS_챕터,41,0.23323791916126071,0.467284785622024,40,0.47166538374021083,0.5220463672281391,40,0.25060470793897177,0.7074298811927451,42,,
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393,42,0.29395480279107405,0.3027980507201503,43,0.3554622977847499,0.35462144514113875,41,0.24963336996386615,0.18509772560539917
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613,45,0.669839200910135,0.6551097214053551,42,0.6977551418486034,0.7917627062304295,37,0.7544680580099252,0.8834340145325948
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551,44,-0.2880651229871673,-0.3457065138024752,45,-0.04048314234097173,-0.09507279902663346,44,0.07145656332239675,0.19507838881955336
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377,43,0.3911210669409977,0.5475255929477425,46,0.31061133963318666,0.16372053063429565,46,0.21804577960715824,0.022078925543586266
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161,47,-0.5181702276148487,-0.46092765457238977,44,-0.6316656995975387,-0.7078025434607735,45,-0.6354614731862672,-0.6942773312050742
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506,46,-0.5878437094953154,-0.5444953517986798,48,-0.5271284098172256,-0.14114673640839295,50,0.09088025103501879,0.14918727332934242
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526,48,-0.032072657619621046,-0.11000005508102426,47,0.00594194897975539,-0.02130039621488132,48,0.176357497645283,0.1383479523595865
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618,49,0.6006509985433547,0.6931502500911749,49,0.6389897067357845,0.7745412337094358,51,0.5291129968356129,0.6893557598744577
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603,50,0.4995519320823245,0.6887171379848552,50,0.5606003737473537,0.6075668020211962,49,0.5009698209773712,0.4162862946009477
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283,52,0.1618419075676373,0.11921775364266125,52,0.4313922576075349,0.2874461138217257,47,0.4645752752395564,0.4302734873832185
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109,51,0.36135036392534947,0.4506005806703627,51,0.3456144970186813,0.24399562063511102,52,-0.4287952137352066,-0.5561415575537509
