Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_초기(~2002),DirectionPearson_초기(~2002),DirectionSpearman_초기(~2002),Rank_중기(2002~2016),DirectionPearson_중기(2002~2016),DirectionSpearman_중기(2002~2016),Rank_최근(>2016),DirectionPearson_최근(>2016),DirectionSpearman_최근(>2016)
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688,34,0.22764551154007728,0.4016031494452523,33,-0.17025093852862178,-0.17562430423110284,39,-0.2667669670223279,-0.19034683806669703
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685,38,-0.07186964935506507,-0.006084227656385357,37,-0.403816616034481,-0.7705502451673956,34,-0.8159375311038423,-0.7688313065228518
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053,35,0.0596394403730226,0.20322119219657803,35,-0.2375720848701984,-0.345048985722174,40,-0.4551412841789173,-0.5279973160462634
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557,39,-0.6087067766318683,-0.7090127613059914,36,-0.39583104326151414,-0.5279202584113714,42,-0.6825277667931136,-0.6865882228414487
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596,40,-0.1077894652019094,-0.09296742877128664,39,0.22241149064196605,0.3051475172969125,37,0.5027908071832747,0.5633347275061777
HS_챕터,41,0.23323791916126071,0.467284785622024,43,0.08001863508100451,0.2926350055425413,38,0.3298511106392425,0.4426117847044979,38,0.38342000074184224,0.44697438517421284
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393,42,0.46351460790542903,0.48171449725481963,41,0.15876052039585048,0.09896247457747437,43,0.44606945194432673,0.4846832847231622
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613,41,0.6230585100421809,0.7666185689858586,42,0.7751679276213833,0.8274682132992736,41,0.6972545073758529,0.734857258624646
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551,45,0.15400485479298567,0.20024965738354508,43,-0.1849908540041531,-0.21445236592064523,45,-0.22994718923108404,-0.28974521281238447
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377,46,0.23245857721776655,0.020948728499468577,44,0.3583875685377848,0.4045337848934366,47,0.40438410478606934,0.4789036396109019
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161,44,-0.5355135430755377,-0.6075290509632312,45,-0.6636592437576122,-0.6827991501017174,44,-0.6097811927953725,-0.5881337665180054
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506,50,-0.5035388685091554,-0.6854443316921898,47,-0.4324965353865132,-0.29855548875182225,46,-0.6527094160029566,-0.42149708633175603
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526,48,0.20593056084989858,0.28249033283123975,48,-0.19023246469986407,-0.3418265946035611,48,0.019388645593140564,0.0285462822640632
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618,51,0.5022061784575413,0.5254299118374415,50,0.05849827923103225,0.1821122533127056,49,0.0048543484434984355,0.008243711946697369
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603,49,0.633323945539709,0.598846422675952,49,0.44833112402455566,0.592083096939258,51,0.5725519950767259,0.7305100276990285
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283,47,0.44034288687846956,0.3247373756067066,52,0.16866533916021254,0.16272749414087614,52,0.355858615651931,0.17633224983419682
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109,52,-0.18229159592281788,-0.2508776526226869,51,-0.44782530500509765,-0.5851849243565987,50,0.09204076864745024,0.2106819603476009
