Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
직전종사상지위_3,0.5979185595996938,1.1599331456650117,0.9842309507519964,1.1599331456650153,1.1599331456650153,+,+,+,,,,,,,,,
경영애로사항_4,0.07794473412538008,0.7291592785132078,0.9830771332106009,0.7291592785132051,0.7291592785132051,+,+,+,,,,,,,,,
경영애로사항_7,0.05294364979025223,0.8053810418541593,0.9812952501674002,0.8082035702458885,0.8082035702458885,+,+,+,,,,,,,,,
임차형태_6,0.0026115707137617165,0.8147178896096404,0.9812640655638807,0.814717889609722,0.814717889609722,+,+,+,,,,,,,,,
경영애로사항_6,0.048732141815222625,0.7400814476384617,0.9806605314670098,0.740081447638463,0.740081447638463,+,+,+,,,,,,,,,
정부지원경험_3,0.053009281164491745,0.7841017161707097,0.9767850589927166,0.7847603463306072,0.7847603463306072,+,+,+,,,,,,,,,
경영애로사항_2,0.30922718882366745,0.7163879446767908,0.9706036893125761,0.7160010029013141,0.7160010029013141,+,+,+,,,,,,,,,
경영애로사항_3,0.20975738789563633,0.7743721657457967,0.9668680302618422,0.7743565873505152,0.7743565873505152,+,+,+,,,,,,,,,
경영애로사항_8,0.04720065276279107,0.7668610676791177,0.9625527492216901,0.7743040078973905,0.7743040078973905,+,+,+,,,,,,,,,
경영애로사항_5,0.05038047129750126,0.6926409513919428,0.9601391743673566,0.6926409513919434,0.6926409513919434,+,+,+,,,,,,,,,
사업장이전경험,0.0578151612796483,0.24131420450502916,0.9567916873740938,0.24804495344893884,0.24804495344893884,+,+,+,,,,,,,,,
임차형태_4,0.0018495692009476538,0.5162634368581993,0.9387759539216565,0.516263436858114,0.516263436858114,+,+,+,,,,,,,,,
디지털대응_6,0.03305128725343023,0.08277091824083145,0.8874750509386683,0.17304938175426887,0.07911893423762038,+,+,+,,,,,,,,,
디지털대응_응답여부,0.1443726857135472,0.21884580438548704,0.7818612783441218,0.3286224114254966,0.18647490793790486,+,+,+,,,,,,,,,
창업준비활동중요성_창업교육,0.29202894491386283,0.311915850897976,0.7435852252663181,0.1482439510883539,0.0,+,+,+,,,,,,,,,
창업횟수,0.21530887396239473,0.5242075155996865,0.7411638479687872,3.859509766746467,3.461309144057385,+,+,+,,,,,,,,,
창업과정어려움_입지선정,0.26390870313804643,0.32447359133401094,0.6864696070045286,0.13470834292853717,0.0,+,+,+,,,,,,,,,
창업준비활동_시장조사,0.018806900658922678,0.039554406583568506,0.6644977018859687,0.03294931344842854,0.03294931344842854,+,+,+,,,,,,,,,
총종사자,0.09728993458230463,0.19202757464523365,0.648166323541347,14.257592601382088,5.860730811963507,+,+,+,,,,,,,,,
연도,0.22108075558996476,0.947633030815462,0.5672100256512003,0.8088921158443187,0.0,+,+,+,,,,,,,,,
경영애로사항_9,0.04199118724653517,0.08213553968637599,0.5081284499364379,0.32308800637316676,0.06169481130683136,+,+,+,,,,,,,,,
연간매출액,0.2506667968475157,0.4961560720846982,0.4754771609051947,2.3725438115774664,29.344819721652236,+,+,+,,,,,,,,,
창업준비기간,0.09215040199413561,0.16064006578497098,0.45536289275904995,1.3873322846003915,1.1403584426129485,+,+,+,,,,,,,,,
창업준비활동_창업교육,0.0112519951086167,0.022349332486457804,0.33968409635557467,0.014502587136396199,0.014502587136396199,+,+,+,,,,,,,,,
창업준비활동_동종업종종사경험,0.03585387334538421,0.07171277278964877,0.3030397333989905,0.02885416573922798,0.02885416573922798,+,+,+,,,,,,,,,
부채현황,0.07258784143470871,0.14493954045471422,0.25053137022697575,2.641719604167791,-103.1884094519296,+,+,-,,,,,,,,,
창업과정어려움_인력확보,0.3390103621261233,0.3390103621261233,0.12107239651765132,0.018515342438065005,0.0,+,+,+,,,,,,,,,
디지털대응_3,0.5104180347698076,0.5145788114040541,0.08248044638751581,0.03358594525298952,0.025162484901562657,+,+,+,,,,,,,,,
창업준비활동_사업계획서작성,0.02165587621410344,0.04236523311039872,0.05460337615324325,0.003142364796746559,0.003142364796746559,+,+,+,,,,,,,,,
총창업비용,0.05302574186401908,0.10589127849523824,0.02506873043104014,0.06076823776511711,-1.8735932633283914,+,+,-,,,,,,,,,
