Feature,Interaction Features,Contribution Importance
창업준비활동중요성_창업교육,디지털대응_3,0.012965614555435276
창업준비활동중요성_창업교육,창업준비활동_동종업종종사경험,0.01023118133296971
창업준비활동중요성_창업교육,부채현황,0.009626870029771015
창업준비활동중요성_창업교육,창업준비활동중요성_동종업종종사경험,0.009256734539123896
창업준비활동중요성_창업교육,창업과정어려움_업종선택,0.008459861023904567
창업준비활동중요성_창업교육,창업과정어려움_기술확보,0.008029345841749606
창업준비활동중요성_창업교육,창업과정어려움_입지선정,0.00794212086662252
창업준비활동중요성_창업교육,창업과정어려움_자금조달,0.007716463074798592
창업준비활동중요성_창업교육,창업준비활동중요성_사업계획서작성,0.007287594116462289
창업준비활동중요성_창업교육,창업과정어려움_행정절차,0.007183552038848592
창업준비활동중요성_창업교육,총종사자,0.006133731238454778
창업준비활동중요성_창업교육,연도,0.005898381779687197
창업준비활동중요성_창업교육,총창업비용,0.005469241884171014
창업준비활동중요성_창업교육,임차형태_1,0.0045685454858876064
창업준비활동중요성_창업교육,창업준비기간,0.004546453996634012
창업준비활동중요성_창업교육,창업과정어려움_인력확보,0.004431844674202813
창업준비활동중요성_창업교육,임차형태_7,0.004321482876279968
창업준비활동중요성_창업교육,창업동기_2,0.0036977936992142312
창업준비활동중요성_창업교육,정부지원경험_1,0.0034029784816533024
창업준비활동중요성_창업교육,경영애로사항_2,0.0033022590271462897
창업준비활동중요성_창업교육,창업준비활동_사업계획서작성,0.003029681518821198
창업준비활동중요성_창업교육,창업준비활동중요성_시장조사,0.00277079977166091
창업준비활동중요성_창업교육,직전종사상지위_3,0.0027110991782616518
창업준비활동중요성_창업교육,경영애로사항_3,0.0024394781321869807
창업준비활동중요성_창업교육,경영애로사항_8,0.001829365039103777
창업준비활동중요성_창업교육,창업횟수,0.0017987878190283135
창업준비활동중요성_창업교육,디지털대응_응답여부,0.0016165777323683091
창업준비활동중요성_창업교육,직전종사상지위_2,0.0015285147281645
창업준비활동중요성_창업교육,경영애로사항_9,0.00145575297527466
창업준비활동중요성_창업교육,디지털대응_5,0.0013834192023760255
창업준비활동중요성_창업교육,창업준비활동_창업교육,0.0011068520488446024
창업준비활동중요성_창업교육,경영애로사항_5,0.0010219151321889015
창업준비활동중요성_창업교육,임차형태_5,0.0009798404893810696
창업준비활동중요성_창업교육,프랜차이즈가맹점여부,0.0009635056182940012
창업준비활동중요성_창업교육,사업장이전경험,0.0008979486405332133
창업준비활동중요성_창업교육,경영애로사항_6,0.0007326005576234756
창업준비활동중요성_창업교육,창업준비활동_시장조사,0.0007236364024665168
창업준비활동중요성_창업교육,경영애로사항_4,0.0007196083590438521
창업준비활동중요성_창업교육,창업동기_3,0.0006961192513135974
창업준비활동중요성_창업교육,창업동기_4,0.0006843912024283134
창업준비활동중요성_창업교육,경영애로사항_1,0.0006695541226578865
창업준비활동중요성_창업교육,직전종사상지위_1,0.0006445643865908364
창업준비활동중요성_창업교육,디지털대응_6,0.0006304457638237278
창업준비활동중요성_창업교육,정부지원경험_2,0.0006172479922896779
창업준비활동중요성_창업교육,경영애로사항_7,0.0006122079437038131
창업준비활동중요성_창업교육,임차형태_3,0.0005446286849102265
창업준비활동중요성_창업교육,임차형태_2,0.0005274751693399548
창업준비활동중요성_창업교육,디지털대응_1,0.0004902226624958702
창업준비활동중요성_창업교육,직전종사상지위_4,0.0004007294405978713
창업준비활동중요성_창업교육,디지털대응_2,0.00033499857280189384
창업준비활동중요성_창업교육,디지털대응_4,0.0002895773297774721
창업준비활동중요성_창업교육,창업동기_1,0.0001973868015576143
창업준비활동중요성_창업교육,정부지원경험_3,0.0001774634960371769
창업준비활동중요성_창업교육,임차형태_6,2.4235698017242308e-05
창업준비활동중요성_창업교육,임차형태_4,4.498998161439274e-06
창업과정어려움_업종선택,디지털대응_3,0.03920014845069694
창업과정어려움_업종선택,경영애로사항_2,0.029226861473530156
창업과정어려움_업종선택,창업과정어려움_입지선정,0.02205777937637249
창업과정어려움_업종선택,부채현황,0.01903839045042498
창업과정어려움_업종선택,경영애로사항_3,0.018445955163844674
창업과정어려움_업종선택,연간매출액,0.01609770952156615
창업과정어려움_업종선택,창업동기_2,0.013888055034309532
창업과정어려움_업종선택,디지털대응_응답여부,0.010071463212499467
창업과정어려움_업종선택,연도,0.00986728601917052
창업과정어려움_업종선택,창업준비활동중요성_창업교육,0.008459861023904568
창업과정어려움_업종선택,창업준비기간,0.008254164697521101
창업과정어려움_업종선택,정부지원경험_1,0.008082804561045365
창업과정어려움_업종선택,총종사자,0.007986243568875463
창업과정어려움_업종선택,경영애로사항_1,0.007625440803693509
창업과정어려움_업종선택,창업과정어려움_경영방법,0.007284636148627963
창업과정어려움_업종선택,임차형태_1,0.00711761900882878
창업과정어려움_업종선택,사업장이전경험,0.006229873483355056
창업과정어려움_업종선택,창업동기_3,0.006186661980647302
창업과정어려움_업종선택,총창업비용,0.005853688783820015
창업과정어려움_업종선택,경영애로사항_4,0.005597198086710661
창업과정어려움_업종선택,창업과정어려움_행정절차,0.005507356129513091
창업과정어려움_업종선택,창업준비활동중요성_동종업종종사경험,0.004869409944490218
창업과정어려움_업종선택,창업준비활동_사업계획서작성,0.004706528293816025
창업과정어려움_업종선택,직전종사상지위_2,0.004566083042108689
창업과정어려움_업종선택,직전종사상지위_3,0.004345234745501596
창업과정어려움_업종선택,임차형태_7,0.0042253121448982385
창업과정어려움_업종선택,창업과정어려움_인력확보,0.004163838687765072
창업과정어려움_업종선택,창업과정어려움_기술확보,0.004022577693817831
창업과정어려움_업종선택,창업준비활동_동종업종종사경험,0.003770072153258089
창업과정어려움_업종선택,창업준비활동중요성_사업계획서작성,0.0032388548242225433
창업과정어려움_업종선택,창업과정어려움_자금조달,0.003209395713833208
창업과정어려움_업종선택,창업준비활동_창업교육,0.0031759671245775592
창업과정어려움_업종선택,디지털대응_5,0.00299924832194553
창업과정어려움_업종선택,직전종사상지위_1,0.0029339241285883514
창업과정어려움_업종선택,정부지원경험_2,0.0027030279133126254
창업과정어려움_업종선택,경영애로사항_7,0.0026569705147992647
창업과정어려움_업종선택,창업횟수,0.0025875761815809307
창업과정어려움_업종선택,창업준비활동중요성_시장조사,0.0025272167864844757
창업과정어려움_업종선택,경영애로사항_6,0.0023904812829163968
창업과정어려움_업종선택,경영애로사항_5,0.0022693376707828066
창업과정어려움_업종선택,경영애로사항_9,0.0021682397104689157
창업과정어려움_업종선택,디지털대응_1,0.0018106644937367028
창업과정어려움_업종선택,창업준비활동_시장조사,0.0015965537075909723
창업과정어려움_업종선택,프랜차이즈가맹점여부,0.001590761848006808
창업과정어려움_업종선택,임차형태_2,0.0014349091569608563
창업과정어려움_업종선택,경영애로사항_8,0.001396656281934665
창업과정어려움_업종선택,디지털대응_2,0.0012326999084903455
창업과정어려움_업종선택,디지털대응_4,0.0010056604842543142
창업과정어려움_업종선택,창업동기_1,0.0009749587840369306
창업과정어려움_업종선택,디지털대응_6,0.0009129771607213227
창업과정어려움_업종선택,직전종사상지위_4,0.0008109459300243345
창업과정어려움_업종선택,임차형태_5,0.000640719168395563
창업과정어려움_업종선택,정부지원경험_3,0.0005928955837626718
창업과정어려움_업종선택,창업동기_4,0.00027293419700740346
창업과정어려움_업종선택,임차형태_3,0.00012968569990674762
창업과정어려움_업종선택,임차형태_6,3.0272679499742864e-06
창업과정어려움_경영방법,디지털대응_3,0.023841049328265657
창업과정어려움_경영방법,창업과정어려움_행정절차,0.017897937257766214
창업과정어려움_경영방법,정부지원경험_1,0.016842093707435626
창업과정어려움_경영방법,창업과정어려움_입지선정,0.015038272843517919
창업과정어려움_경영방법,연간매출액,0.014033946480616033
창업과정어려움_경영방법,창업준비활동중요성_창업교육,0.013361292634062594
